0.000000000000000000e+00 1.409735120609322045e+00 -9.550962927604766950e-02
1.000000000000000056e-01 1.463288268478802001e+00 -9.537442428659353988e-02
2.000000000000000111e-01 1.523302431641444077e+00 -9.504307614735242604e-02
3.000000000000000444e-01 1.591365155691021549e+00 -9.444415088251020829e-02
4.000000000000000222e-01 1.669731270893631381e+00 -9.347020138252992716e-02
5.000000000000000000e-01 1.761766084085639283e+00 -9.195113702166800296e-02
6.000000000000000888e-01 1.872840607925686962e+00 -8.959836455275724254e-02
7.000000000000000666e-01 2.012394651670535772e+00 -8.587076670821479352e-02
8.000000000000000444e-01 2.199755015301231076e+00 -7.957960565206090298e-02
9.000000000000000222e-01 2.487820249293437591e+00 -6.719397487599244878e-02
