0.000000000000000000e+00 1.606193728272714116e+00 -9.567070102686409117e-02
1.000000000000000056e-01 1.557641436512980260e+00 -9.564275496081667272e-02
2.000000000000000111e-01 1.513426963057647567e+00 -9.550341589886612859e-02
3.000000000000000444e-01 1.472902570596938521e+00 -9.527717233937676999e-02
4.000000000000000222e-01 1.435554972136313223e+00 -9.498220924954881017e-02
5.000000000000000000e-01 1.400970416418790609e+00 -9.463224646935076978e-02
6.000000000000000888e-01 1.368810465516248076e+00 -9.423776548767538730e-02
7.000000000000000666e-01 1.338794746840301420e+00 -9.380685028817493942e-02
8.000000000000000444e-01 1.310688392112804745e+00 -9.334577702996908755e-02
9.000000000000000222e-01 1.284292708376488124e+00 -9.285943582992126077e-02
