0.	0.	0.
0.05	4.005921202947378e-15	2.070737376813287e-15
0.1	2.335156458392817e-13	1.2253986504603792e-13
0.15000000000000002	2.429961667941216e-12	1.2935133726219657e-12
0.2	1.2507890335615282e-11	6.7493755027981185e-12
0.25	4.382640447422118e-11	2.3957667561399176e-11
0.30000000000000004	1.2049955315824166e-10	6.669061704532843e-11
0.35000000000000003	2.804377129076264e-10	1.5705277134025311e-10
0.4	5.779763423182138e-10	3.273589016212638e-10
0.45	1.0860445359941552e-9	6.218069532908142e-10
0.5	1.8978801553267227e-9	1.0979229643216477e-9
0.55	3.128327210159387e-9	1.8277748216368353e-9
0.6000000000000001	4.914764934277857e-9	2.8989637498538145e-9
0.65	7.4177223624486875e-9	4.415409040224398e-9
0.7000000000000001	1.0821232145563473e-8	6.4979450847836466e-9
0.75	1.5332972838578884e-8	9.284750366458958e-9
0.8	2.1184246126727893e-8	1.2931628794430289e-8
0.8500000000000001	2.862982806160528e-8	1.7612161589347424e-8
0.9	3.794772901544637e-8	2.3517746890521267e-8
0.9500000000000001	4.9438893934082516e-8	3.085754312588686e-8
