#[0] time
#[1] realamp_l2m0
#[2] imagamp_l2m0
#[3] realamp_l2m0
#[4] imagamp_l2m0
#[5] realamp_l3m0
#[6] imagamp_l3m0
#[7] realamp_l3m0
#[8] imagamp_l3m0
#[9] realamp_l4m0
#[10] imagamp_l4m0
#[11] realamp_l4m0
#[12] imagamp_l4m0
2439.40	-8.30142e-06	4.52823e-06	-8.30142e-06	-4.52823e-06	3.85992e-07	6.48843e-10	3.85989e-07	-6.47791e-10	-3.94863e-09	-8.78145e-09	-3.94857e-09	8.78119e-09
2439.50	-8.58205e-06	4.25202e-06	-8.58205e-06	-4.25201e-06	3.90310e-07	2.49629e-08	3.90308e-07	-2.49616e-08	-3.22242e-09	-9.20414e-09	-3.22239e-09	9.20387e-09
2439.60	-8.85643e-06	3.95996e-06	-8.85643e-06	-3.95996e-06	3.93140e-07	4.99362e-08	3.93138e-07	-4.99348e-08	-2.43551e-09	-9.56338e-09	-2.43551e-09	9.56310e-09
2439.70	-9.12178e-06	3.65412e-06	-9.12179e-06	-3.65412e-06	3.94423e-07	7.53167e-08	3.94421e-07	-7.53151e-08	-1.63543e-09	-9.87537e-09	-1.63544e-09	9.87509e-09
2439.80	-9.37876e-06	3.33327e-06	-9.37876e-06	-3.33326e-06	3.94088e-07	1.01119e-07	3.94085e-07	-1.01117e-07	-8.20728e-10	-1.01371e-08	-8.20767e-10	1.01368e-08
2439.90	-9.62603e-06	2.99827e-06	-9.62603e-06	-2.99827e-06	3.92116e-07	1.27194e-07	3.92113e-07	-1.27192e-07	1.21742e-11	-1.03437e-08	1.21105e-11	1.03434e-08
2440.00	-9.86346e-06	2.64854e-06	-9.86346e-06	-2.64854e-06	3.88461e-07	1.53502e-07	3.88459e-07	-1.53500e-07	8.68218e-10	-1.04870e-08	8.68130e-10	1.04868e-08
2440.10	-1.00893e-05	2.28595e-06	-1.00893e-05	-2.28595e-06	3.83140e-07	1.79835e-07	3.83138e-07	-1.79833e-07	1.74307e-09	-1.05634e-08	1.74295e-09	1.05631e-08
2440.20	-1.03034e-05	1.90993e-06	-1.03034e-05	-1.90993e-06	3.76095e-07	2.06132e-07	3.76093e-07	-2.06129e-07	2.63490e-09	-1.05643e-08	2.63477e-09	1.05641e-08
2440.30	-1.05056e-05	1.51993e-06	-1.05056e-05	-1.51993e-06	3.67296e-07	2.32349e-07	3.67294e-07	-2.32346e-07	3.54194e-09	-1.04833e-08	3.54178e-09	1.04831e-08
2440.40	-1.06942e-05	1.11804e-06	-1.06942e-05	-1.11804e-06	3.56788e-07	2.58273e-07	3.56787e-07	-2.58270e-07	4.45463e-09	-1.03204e-08	4.45444e-09	1.03201e-08
2440.50	-1.08690e-05	7.03746e-07	-1.08690e-05	-7.03744e-07	3.44530e-07	2.83834e-07	3.44528e-07	-2.83831e-07	5.36643e-09	-1.00699e-08	5.36622e-09	1.00697e-08
2440.60	-1.10298e-05	2.76483e-07	-1.10298e-05	-2.76481e-07	3.30488e-07	3.08970e-07	3.30486e-07	-3.08967e-07	6.27109e-09	-9.72792e-09	6.27086e-09	9.72770e-09
2440.70	-1.11752e-05	-1.61398e-07	-1.11752e-05	1.61400e-07	3.14752e-07	3.33478e-07	3.14750e-07	-3.33475e-07	7.15807e-09	-9.29894e-09	7.15783e-09	9.29874e-09
2440.80	-1.13051e-05	-6.11411e-07	-1.13051e-05	6.11414e-07	2.97241e-07	3.57308e-07	2.97240e-07	-3.57305e-07	8.01909e-09	-8.77803e-09	8.01882e-09	8.77785e-09
2440.90	-1.14187e-05	-1.07208e-06	-1.14187e-05	1.07208e-06	2.78028e-07	3.80312e-07	2.78027e-07	-3.80309e-07	8.84493e-09	-8.16954e-09	8.84465e-09	8.16938e-09
2441.00	-1.15150e-05	-1.54185e-06	-1.15150e-05	1.54185e-06	2.57197e-07	4.02332e-07	2.57196e-07	-4.02328e-07	9.62705e-09	-7.47892e-09	9.62675e-09	7.47879e-09
2441.10	-1.15940e-05	-2.02223e-06	-1.15940e-05	2.02223e-06	2.34680e-07	4.23313e-07	2.34680e-07	-4.23309e-07	1.03563e-08	-6.70396e-09	1.03560e-08	6.70385e-09
2441.20	-1.16545e-05	-2.51053e-06	-1.16545e-05	2.51054e-06	2.10637e-07	4.43078e-07	2.10636e-07	-4.43075e-07	1.10252e-08	-5.85471e-09	1.10248e-08	5.85462e-09
2441.30	-1.16964e-05	-3.00719e-06	-1.16964e-05	3.00719e-06	1.85067e-07	4.61534e-07	1.85067e-07	-4.61531e-07	1.16248e-08	-4.93347e-09	1.16245e-08	4.93340e-09
