#[0] time
#[1] realamp_l2mm1
#[2] imagamp_l2mm1
#[3] realamp_l2m1
#[4] imagamp_l2m1
#[5] realamp_l3mm1
#[6] imagamp_l3mm1
#[7] realamp_l3m1
#[8] imagamp_l3m1
#[9] realamp_l4mm1
#[10] imagamp_l4mm1
#[11] realamp_l4m1
#[12] imagamp_l4m1
#[13] realamp_l5mm1
#[14] imagamp_l5mm1
#[15] realamp_l5m1
#[16] imagamp_l5m1
2439.40	1.78436e-03	3.79176e-04	-8.06227e-05	-8.56703e-04	1.36907e-05	-4.93114e-06	-6.80043e-05	3.62984e-05	1.30925e-06	1.74616e-06	6.37773e-07	4.65512e-06	4.01434e-08	-3.04304e-07	-1.44471e-07	3.08356e-08
2439.50	1.81165e-03	3.24202e-04	-3.46112e-05	-8.68479e-04	1.36019e-05	-5.61464e-06	-7.13354e-05	3.12805e-05	1.44945e-06	1.65938e-06	1.75424e-07	4.74659e-06	1.08540e-08	-3.09525e-07	-1.48756e-07	1.48170e-08
2439.60	1.83621e-03	2.72116e-04	9.18510e-06	-8.76795e-04	1.34152e-05	-6.37668e-06	-7.41072e-05	2.62107e-05	1.58320e-06	1.56038e-06	-2.77509e-07	4.78638e-06	-1.89186e-08	-3.12034e-07	-1.50908e-07	-2.29288e-09
2439.70	1.85942e-03	2.18818e-04	5.37837e-05	-8.82958e-04	1.31908e-05	-7.12875e-06	-7.65240e-05	2.09044e-05	1.70987e-06	1.45108e-06	-7.36350e-07	4.78318e-06	-4.90907e-08	-3.11671e-07	-1.51103e-07	-1.97103e-08
2439.80	1.88119e-03	1.64443e-04	9.89970e-05	-8.86909e-04	1.29263e-05	-7.87428e-06	-7.85614e-05	1.53901e-05	1.82899e-06	1.33180e-06	-1.19671e-06	4.73606e-06	-7.93841e-08	-3.08377e-07	-1.49285e-07	-3.72270e-08
2439.90	1.90148e-03	1.09026e-04	1.44712e-04	-8.88588e-04	1.26146e-05	-8.61993e-06	-8.02054e-05	9.68556e-06	1.94039e-06	1.20221e-06	-1.65516e-06	4.64473e-06	-1.09472e-07	-3.02136e-07	-1.45448e-07	-5.45829e-08
2440.00	1.92026e-03	5.25012e-05	1.90906e-04	-8.87973e-04	1.22629e-05	-9.35408e-06	-8.14403e-05	3.81947e-06	2.04270e-06	1.06354e-06	-2.10737e-06	4.50912e-06	-1.39100e-07	-2.92965e-07	-1.39605e-07	-7.15421e-08
2440.10	1.93749e-03	-4.97921e-06	2.37373e-04	-8.85000e-04	1.18705e-05	-1.00750e-05	-8.22480e-05	-2.17030e-06	2.13506e-06	9.16582e-07	-2.54844e-06	4.32969e-06	-1.68004e-07	-2.80895e-07	-1.31772e-07	-8.78829e-08
2440.20	1.95315e-03	-6.34812e-05	2.84081e-04	-8.79633e-04	1.14376e-05	-1.07790e-05	-8.26185e-05	-8.26180e-06	2.21688e-06	7.61731e-07	-2.97464e-06	4.10719e-06	-1.95882e-07	-2.65987e-07	-1.22017e-07	-1.03367e-07
2440.30	1.96717e-03	-1.22974e-04	3.30915e-04	-8.71859e-04	1.09667e-05	-1.14657e-05	-8.25423e-05	-1.44234e-05	2.28763e-06	5.99840e-07	-3.38182e-06	3.84283e-06	-2.22455e-07	-2.48329e-07	-1.10440e-07	-1.17765e-07
2440.40	1.97950e-03	-1.83298e-04	3.77660e-04	-8.61655e-04	1.04517e-05	-1.21357e-05	-8.20093e-05	-2.06175e-05	2.34666e-06	4.31401e-07	-3.76565e-06	3.53823e-06	-2.47446e-07	-2.28037e-07	-9.71719e-08	-1.30865e-07
2440.50	1.99012e-03	-2.44520e-04	4.24277e-04	-8.48988e-04	9.89932e-06	-1.27837e-05	-8.10152e-05	-2.68155e-05	2.39343e-06	2.57560e-07	-4.12240e-06	3.19536e-06	-2.70609e-07	-2.05243e-07	-8.23475e-08	-1.42465e-07
2440.60	1.99900e-03	-3.06592e-04	4.70640e-04	-8.33845e-04	9.31485e-06	-1.34036e-05	-7.95571e-05	-3.29781e-05	2.42729e-06	7.96970e-08	-4.44789e-06	2.81688e-06	-2.91701e-07	-1.80101e-07	-6.61211e-08	-1.52387e-07
2440.70	2.00608e-03	-3.69353e-04	5.16533e-04	-8.16250e-04	8.68884e-06	-1.40005e-05	-7.76338e-05	-3.90706e-05	2.44802e-06	-1.02072e-07	-4.73869e-06	2.40548e-06	-3.10465e-07	-1.52821e-07	-4.87016e-08	-1.60460e-07
